+------------------------------------------------------------------------------+
| XXXXXXXXXXXXXXXXXXX    XX                                                    |
| ---------------------------------------------------------------------------- |
| XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX                                  |
| XXXXXXXXX                                                                    |
| ---------------------------------------------------------------------------- |
| XXXXX:                                                                       |
|    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX                                  |
| XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX                 |
| XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX                 |
|                                                                              |
+------------------------------------------------------------------------------+

# Band 0
x           Energy / eV  Fractional k-point
0.0000e+00  -1.4822e+01   [0.0000e+00, 0.0000e+00, 0.0000e+00]
1.0000e-02  -1.4822e+01   [0.0000e+00, 0.0000e+00, 5.0000e-03]
2.0000e-02  -1.4822e+01   [0.0000e+00, 0.0000e+00, 1.0000e-02]
3.0000e-02  -1.4822e+01   [0.0000e+00, 0.0000e+00, 1.5000e-02]
4.0000e-02  -1.4822e+01   [0.0000e+00, 0.0000e+00, 2.0000e-02]
5.0000e-02  -1.4822e+01   [0.0000e+00, 0.0000e+00, 2.5000e-02]
6.0000e-02  -1.4821e+01   [0.0000e+00, 0.0000e+00, 3.0000e-02]
7.0000e-02  -1.4821e+01   [0.0000e+00, 0.0000e+00, 3.5000e-02]
8.0000e-02  -1.4821e+01   [0.0000e+00, 0.0000e+00, 4.0000e-02]
9.0000e-02  -1.4821e+01   [0.0000e+00, 0.0000e+00, 4.5000e-02]
1.0000e-01  -1.4820e+01   [0.0000e+00, 0.0000e+00, 5.0000e-02]
1.1000e-01  -1.4820e+01   [0.0000e+00, 0.0000e+00, 5.5000e-02]
1.2000e-01  -1.4820e+01   [0.0000e+00, 0.0000e+00, 6.0000e-02]
1.3000e-01  -1.4819e+01   [0.0000e+00, 0.0000e+00, 6.5000e-02]
1.4000e-01  -1.4819e+01   [0.0000e+00, 0.0000e+00, 7.0000e-02]
